Film	Year	Awards	Nominations		Note: data taken from http://en.wikipedia.org/wiki/List_of_Academy_Award-winning_films released under CC-BY-SA http://creativecommons.org/licenses/by-sa/3.0/
The Bridge of San Luis Rey	1928/29	1	1		
The Bridges at Toko-Ri	1955	1	2		
The Broadway Melody	1928/29	1	3		
The Buddy Holly Story	1978	1	3		
The Candidate	1972	1	2		
The Cat Concerto	1946	1	1		
The Charge of the Light Brigade	1936	1	3		
The Chicken(Le Poulet)	1965	1	1		
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	1	3		
The Chubbchubbs!	2002	1	1		
The Color of Money	1986	1	4		
The Constant Gardener	2005	1	4		
The Counterfeiters	2007	1	1		
The Country Cousin	1936	1	1		
The Cove	2009	1	1		
The Cowboy and the Lady	1938	1	3		
The Critic	1963	1	1		
The Crunch Bird	1971	1	1		
The Crying Game	1992	1	6		
The Danish Poet	2006	1	1		
The Dark Angel	1935	1	3		
The Dawn Patrol	1930/31	1	1		
The Descendants	2011	1	5		
The Dirty Dozen	1967	1	4		
The Discreet Charm of the Bourgeoisie(Le Charme discret de la bourgeoisie)	1972	1	2		
The Divine Lady	1928/29	1	3		
The Divorcee	1929/30	1	4		
The Dollar Bottom	1980	1	1		
The Dot and the Line(The Dot and the Line: A Romance in Lower Mathematics)	1965	1	1		
The Dove	1927/28	1	1		
The Duchess	2008	1	2		
The Eleanor Roosevelt Story	1965	1	1		
The Empire Strikes Back	1980	1	3[5]		
The End of the Game	1975	1	1		
The Enemy Below	1957	1	1		
The Face of Lincoln	1955	1	2		
The Facts of Life	1960	1	5		
The Fantastic Flying Books of Mr. Morris Lessmore	2011	1	1		
The Farmer's Daughter	1947	1	2		
The Fighting Lady	1944	1	1		
The Fisher King	1991	1	5		
The Flight of the Gossamer Condor	1978	1	1		
The Fly	1980	1	1		
The Fly	1986	1	1		
The Fog of War(The Fog of War: Eleven Lessons from the Life of Robert S. McNamara)	2003	1	1		
The Fortune Cookie	1966	1	4		
The Fugitive	1993	1	7		
The Full Monty	1997	1	4		
The Garden of the Finzi-Continis(Il Giardino dei Finzi-Contini)	1971	1	2		
The Ghost and the Darkness	1996	1	1		
The Girl with the Dragon Tattoo	2011	1	5		
The Glenn Miller Story	1954	1	3		
The Golden Compass	2007	1	2		
The Golden Fish(Histoire d'un poisson rouge)	1959	1	1		
The Goodbye Girl	1977	1	5		
The Graduate	1967	1	7		
The Great American Cowboy	1973	1	1		
The Great Caruso	1951	1	3		
The Great Lie	1941	1	1		
The Great McGinty	1940	1	1		
The Great Race	1965	1	5		
The Great Waltz	1938	1	3		
The Guns of Navarone	1961	1	7		
The Harvey Girls	1946	1	2		
The Hellstrom Chronicle	1971	1	1		
The Help	2011	1	4		
The High and the Mighty	1954	1	6		
The Hole	1962	1	1		
The Horse with the Flying Tail	1960	1	1		
The Hospital	1971	1	2		
The Hours	2002	1	9		
The House on 92nd Street	1945	1	1		
The Human Comedy	1943	1	5		
The Hunt for Red October	1990	1	3		
The Hurricane	1937	1	3		
The Invaders	1942	1	3		
The Johnstown Flood	1989	1	1		
The Joker Is Wild	1957	1	1		
The Last Command	1927/28	1	2		
The Last Days	1998	1	1		
The Last King of Scotland	2006	1	1		
The Last of the Mohicans	1992	1	1		
The Lavender Hill Mob	1952	1	2		
The Little Orphan	1948	1	1		
The Lives of Others(Das Leben der Anderen)	2006	1	1		
The Lives of a Bengal Lancer	1935	1	7		
The Living Desert	1953	1	1		
The Long Way Home	1997	1	1		
The Lunch Date	1990	1	1		
The Madness of King George	1994	1	4		
The Magic Machines	1969	1	2		
The Man Who Knew Too Much	1956	1	1		
The Man Who Planted Trees(L' Homme qui plantait des arbres)	1987	1	1		
The Man Who Skied Down Everest	1975	1	1		
The Merry Widow	1934	1	1		
The Milagro Beanfield War	1988	1	1		
The Milky Way	1940	1	1		
The Mission	1986	1	7		
The Moon and the Son: An Imagined Conversation	2005	1	1		
The More the Merrier	1943	1	6		
The Motorcycle Diaries	2004	1	2		
The Muppets	2011	1	1		
The Music Box	1931/32	1	1		
The Music Man	1962	1	6		
The New Tenants	2009	1	1		
The Night of the Iguana	1964	1	4		
The Nutty Professor	1996	1	1		
The Official Story(La Historia oficial)	1985	1	2		
The Old Man and the Sea	1958	1	3		
The Old Man and the Sea	1999	1	1		
The Old Mill	1937	1	1		
The Omen	1976	1	2		
The Paleface	1948	1	1		
The Panama Deception	1992	1	1		
The Paper Chase	1973	1	3		
The Patriot	1928/29	1	5		
The Personals	1998	1	1		
The Picture of Dorian Gray	1945	1	3		
The Pink Phink	1964	1	1		
The Poseidon Adventure	1972	1	8[13]		
The Pride of the Yankees	1942	1	11		
The Prime of Miss Jean Brodie	1969	1	2		
The Prince of Egypt	1998	1	2		
The Private Life of Henry VIII	1932/33	1	2		
The Private Life of the Gannets	1937	1	1		
The Producers	1968	1	2		
The Public Pays	1936	1	1		
The Queen	2006	1	6		
The Rains Came	1939	1	6		
The Razor's Edge	1946	1	4		
The Reader	2008	1	5		
The Red Balloon(Le ballon rouge)	1956	1	1		
The Red Violin(Le Violon rouge)	1999	1	1		
The Redwoods	1967	1	1		
The Resurrection of Broncho Billy	1970	1	1		
The Sand Castle	1977	1	1		
The Sandpiper	1965	1	1		
The Scoundrel	1935	1	1		
The Sea Around Us	1952	1	1		
The Sea Inside	2004	1	2		
The Search	1948	1	4		
The Secret Land	1948	1	1		
The Secret in Their Eyes	2009	1	1		
The Seventh Veil	1946	1	1		
The Shop on Main Street(Obchod na korze)	1965	1	2		
The Shore	2011	1	1		
The Silent World(Le Monde du silence)	1956	1	1		
The Sin of Madelon Claudet	1931/32	1	1		
The Snake Pit	1948	1	6		
The Solid Gold Cadillac	1956	1	2		
The Stone Carvers	1984	1	1		
The Stratton Story	1949	1	1		
The Subject Was Roses	1968	1	2		
The Sunshine Boys	1975	1	4		
The Ten Commandments	1956	1	7		
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table	1987	1	1		
The Third Man	1950	1	3		
The Thomas Crown Affair	1968	1	2		
The Three Faces of Eve	1957	1	1		
The Time Machine	1960	1	1		
The Times of Harvey Milk	1984	1	1		
The Tin Drum(Die Blechtrommel)	1979	1	1		
The Titan: Story of Michelangelo	1950	1	1		
The Tortoise and the Hare	1934	1	1		
The Trip to Bountiful	1985	1	2		
The True Glory	1945	1	1		
The True Story of the Civil War	1956	1	1		
The Two Mouseketeers	1951	1	1		
The Ugly Duckling	1939	1	1		
The Untouchables	1987	1	4		
The V.I.P.s	1963	1	1		
The Vanishing Prairie	1954	1	1		
The Virgin Spring	1960	1	2		
The War Game	1966	1	1		
The Way of All Flesh	1927/28	1	1		
The Westerner	1940	1	3		
The Wetback Hound	1957	1	1		
The Woman in Red	1984	1	1		
The Wonderful World of the Brothers Grimm	1962	1	4		
The Yankee Doodle Mouse	1943	1	1		
The Year of Living Dangerously	1983	1	1		
The Young Victoria	2009	1	3		
Thelma & Louise	1991	1	6		
They Shoot Horses, Don't They?	1969	1	9		
Thirty Seconds Over Tokyo	1944	1	2		
This Above All	1942	1	4		
This Charming Man(Der Er En Yndig Mand)	2002	1	1		
This Is the Army	1943	1	3		
This Land Is Mine	1943	1	1		
This Mechanical Age	1954	1	1		
This Tiny World	1972	1	1		
Thoroughly Modern Millie	1967	1	7		
Thoth	2001	1	1		
Three Little Pigs	1932/33	1	1		
Three Orphan Kittens	1935	1	1		
Through a Glass Darkly	1961	1	2		
Thunderball	1965	1	1		
Thursday's Children	1954	1	1		
Tin Pan Alley	1940	1	1		
Tin Toy	1988	1	1		
Titanic	1953	1	2		
To Be Alive!	1965	1	1		
To Begin Again(Volver a empezar)	1982	1	1		
To Catch a Thief	1955	1	3		
To Each His Own	1946	1	2		
Toot Whistle Plunk and Boom	1953	1	1		
Tootsie	1982	1	10		
Top Gun	1986	1	4		
Topkapi	1964	1	1		
Tora! Tora! Tora!	1970	1	5		
Torture Money	1937	1	1		
Toward Independence	1948	1	1		
Toyland	2007	1	1		
Training Day	2001	1	2		
Transatlantic	1931/32	1	1		
Travels with My Aunt	1972	1	4		
Trevor	1994	1	1		
True Grit	1969	1	2		
Tsotsi	2005	1	1		
Tweetie Pie	1947	1	1		
Twin Towers	2002	1	1		
Two Arabian Knights	1927/28	1	1		
Two Soldiers	2003	1	1		
Two Women(La Ciociara)	1961	1	1		
U-571	2000	1	2		
Undefeated	2011	1	1		
Underworld	1927/28	1	1		
Up	1984	1	1		
Vacation from Marriage(UK titlePerfect Strangers)	1946	1	1		
Van Gogh	1949	1	1		
Vicky Cristina Barcelona	2008	1	1		
Victor Victoria	1982	1	7		
Violet	1981	1	1		
Visas and Virtue	1997	1	1		
Viva Villa!	1934	1	4		
Viva Zapata!	1952	1	5		
WALL-E	2008	1	6		
Waikiki Wedding	1937	1	2		
Walk the Line	2005	1	5		
Wall Street	1987	1	1		
Wallace & Gromit in The Wrong Trousers	1993	1	1		
Wallace & Gromit: The Curse of the Were-Rabbit	2005	1	1		
War and Peace(Voyna i mir)	1968	1	2		
War of the Worlds, The	1953	1	3		
Wasp	2003	1	1		
Watch on the Rhine	1943	1	4		
Water Birds	1952	1	1		
West Bank Story	2005	1	1		
What Dreams May Come	1998	1	2		
What Ever Happened to Baby Jane?	1962	1	5		
When Magoo Flew	1954	1	1		
When Tomorrow Comes	1939	1	1		
When We Were Kings	1996	1	1		
When Worlds Collide	1951	1	2		
White Nights	1985	1	2		
White Shadows in the South Seas	1928/29	1	1		
White Wilderness	1958	1	2		
Who Are the DeBolts? And Where Did They Get Nineteen Kids?	1977	1	1		
Who's Who in Animal Land	1944	1	1		
Why Korea?	1950	1	1		
Why Man Creates	1968	1	1		
Wild Wings	1966	1	1		
Wings Over Everest	1935	1	1		
Winnie the Pooh and the Blustery Day	1968	1	1		
With Byrd at the South Pole	1929/30	1	1		
With a Song in My Heart	1952	1	5		
With the Marines at Tarawa	1944	1	1		
Witness to War: Dr. Charlie Clements	1985	1	1		
Woman of the Year	1942	1	2		
Women  for America, for the World	1986	1	1		
Women in Love	1970	1	4		
Wonder Boys	2000	1	3		
Wonder Man	1945	1	4		
Woodstock	1970	1	3		
Work Experience	1989	1	1		
Working Girl	1988	1	6		
World of Kids	1951	1	1		
Wrestling Swordfish	1931/32	1	1		
Written on the Wind	1956	1	3		
Wuthering Heights	1939	1	8		
Yentl	1983	1	5		
Yesterday, Today and Tomorrow(Ieri, oggi, domani)	1964	1	1		
You Don't Have to Die	1988	1	1		
You Light Up My Life	1977	1	1		
Young at Heart	1987	1	1		
Zero Dark Thirty	2012	1	5		
tom thumb	1958	1	1		
"Precious: Based on the Novel ""Push"" by Sapphire"	2009	2	6		
20,000 Leagues Under the Sea	1954	2	3		
A Double Life	1947	2	4		
A Farewell to Arms	1932/33	2	4		
A Letter to Three Wives	1949	2	3		
A Man and a Woman	1966	2	4		
A Midsummer Night's Dream	1935	2	4[11]		
A Passage to India	1984	2	11		
Aladdin	1992	2	5		
Alice in Wonderland	2010	2	3		
Aliens	1986	2	7		
All Quiet on the Western Front	1929/30	2	4		
An Inconvenient Truth	2006	2	2		
An Officer and a Gentleman	1982	2	6		
Anna and the King of Siam	1946	2	5		
Apocalypse Now	1979	2	8		
Apollo 13	1995	2	9		
Arthur	1981	2	4		
As Good as It Gets	1997	2	7		
Bad Girl	1931/32	2	3		
Battleground	1949	2	6		
Beauty and the Beast	1991	2	6		
Black Hawk Down	2001	2	4		
Black Narcissus	1947	2	2		
Bonnie and Clyde	1967	2	10		
Born Free	1966	2	2		
Born on the Fourth of July	1989	2	8		
Bound for Glory	1976	2	6		
Boys Town	1938	2	5		
Breakfast at Tiffany's	1961	2	5		
Bugsy	1991	2	10		
Cocoon	1985	2	2		
Crazy Heart	2009	2	3		
Django Unchained	2012	2	5		
Doctor Dolittle	1967	2	9		
Dreamgirls	2006	2	8		
Ed Wood	1994	2	2		
Fame	1980	2	6		
Fantastic Voyage	1966	2	5		
Fargo	1996	2	7		
Federico Fellini's 8 1/2	1963	2	5		
Frida	2002	2	6		
Gaslight	1944	2	7		
Ghost	1990	2	5		
Good Will Hunting	1997	2	9		
Great Expectations	1947	2	5		
Guess Who's Coming to Dinner	1967	2	10		
Here Comes Mr. Jordan	1941	2	7		
In Old Chicago	1937	2	6		
JFK	1991	2	8		
Jezebel	1938	2	5		
Joan of Arc	1948	2	7		
Judgment at Nuremberg	1961	2	11		
King Solomon's Mines	1950	2	3		
L.A. Confidential	1997	2	9		
La Vie en rose	2007	2	3		
Lincoln	2012	2	12		
Little Miss Sunshine	2006	2	4		
Lost Horizon	1937	2	7		
Master and Commander: The Far Side of the World	2003	2	10		
Melvin and Howard	1980	2	3		
Midnight Express	1978	2	6		
Milk	2008	2	8		
Moulin Rouge	1952	2	7		
Moulin Rouge!	2001	2	8		
My Left Foot	1989	2	5		
Mystic River	2003	2	6		
National Velvet	1945	2	5		
Nicholas and Alexandra	1971	2	6		
Norma Rae	1979	2	4		
Oklahoma!	1955	2	4		
One Night of Love	1934	2	6		
Phantom of the Opera	1943	2	4		
Philadelphia	1993	2	5		
Picnic	1955	2	6		
Pinocchio	1940	2	2		
Places in the Heart	1984	2	7		
Pocahontas	1995	2	2		
Raging Bull	1980	2	8		
Ray	2004	2	6		
Rebecca	1940	2	11		
Restoration	1995	2	2		
Romeo and Juliet	1968	2	4		
Room at the Top	1959	2	6		
Ryan's Daughter	1970	2	4		
Samson and Delilah	1950	2	5		
Sentinels of Silence	1971	2	2		
Separate Tables	1958	2	7		
Sergeant York	1941	2	11		
Ship of Fools	1965	2	8		
Skyfall	2012	2	5		
Somebody Up There Likes Me	1956	2	3		
Speed	1994	2	3		
Stagecoach	1939	2	7		
Tender Mercies	1983	2	5		
The Big House	1929/30	2	4		
The Champ	1931/32	2	4		
The Cider House Rules	1999	2	7		
The Country Girl	1954	2	7		
The Dark Knight	2008	2	8		
The Defiant Ones	1958	2	9		
The Exorcist	1973	2	10		
The Fighter	2010	2	7		
The Good Earth	1937	2	5		
The Grapes of Wrath	1940	2	7		
The Great Gatsby	1974	2	2		
The Greatest Show on Earth	1952	2	5		
The Hustler	1961	2	9		
The Incredibles	2004	2	4		
The Iron Lady	2011	2	2		
The Jolson Story	1946	2	6		
The Last Picture Show	1971	2	8		
The Lion King	1994	2	4		
The Little Mermaid	1989	2	3		
The Longest Day	1962	2	5		
The Lord of the Rings: The Two Towers	2002	2	6		
The Miracle Worker	1962	2	5		
The Naked City	1948	2	3		
The Philadelphia Story	1940	2	6		
The Quiet Man	1952	2	7		
The Red Shoes	1948	2	5		
The Robe	1953	2	5		
The Usual Suspects	1995	2	2		
The Way We Were	1973	2	6		
The Wizard of Oz	1939	2	6		
The Yearling	1946	2	7		
There Will Be Blood	2007	2	8		
Three Coins in the Fountain	1954	2	3		
Topsy-Turvy	1999	2	4		
Toy Story 3	2010	2	5		
Twelve O'Clock High	1949	2	4		
Up	2009	2	5		
Wings	1927/28	2	2		
Witness	1985	2	8		
You Can't Take It with You	1938	2	7		
Z	1969	2	5		
7th Heaven	1927/28	3	5		
A Room with a View	1986	3	8		
All the King's Men	1949	3	7		
Argo	2012	3	7		
Avatar	2009	3	9		
Bram Stoker's Dracula	1992	3	4		
Brokeback Mountain	2005	3	8		
Camelot	1967	3	5		
Casablanca	1943	3	8		
Cavalcade	1932/33	3	4		
Cimarron	1930/31	3	7		
Coming Home	1978	3	8		
Crash	2005	3	6		
Dangerous Liaisons	1988	3	7		
Darling	1965	3	5		
Dick Tracy	1990	3	7		
Elmer Gantry	1960	3	5		
Fiddler on the Roof	1971	3	8		
Gentleman's Agreement	1947	3	8		
Glory	1989	3	5		
Grand Prix	1966	3	3		
Hannah and Her Sisters	1986	3	7		
Hello, Dolly!	1969	3	7		
How the West Was Won	1963	3	8		
Howards End	1992	3	9		
Hud	1963	3	7		
Jaws	1975	3	4		
Julia	1977	3	11		
Jurassic Park	1993	3	3		
King Kong	2005	3	4		
Les Miserables	2012	3	8		
Life Is Beautiful	1998	3	7		
Love Is a Many-Splendored Thing	1955	3	8		
Memoirs of a Geisha	2005	3	6		
Midnight Cowboy	1969	3	7		
Miracle on 34th Street	1947	3	4		
Moonstruck	1987	3	6		
On Golden Pond	1981	3	10		
Pan's Labyrinth(El laberinto del fauno)	2006	3	6		
Reds	1981	3	12		
Rocky	1976	3	10		
Roman Holiday	1953	3	10		
Story of Louis Pasteur, The	1936	3	4		
Sunrise	1927/28	3	4[17]		
Sunset Boulevard	1950	3	11		
Tess	1980	3	6		
The Adventures of Robin Hood	1938	3	4		
The Bourne Ultimatum	2007	3	3		
The Curious Case of Benjamin Button	2008	3	13		
The Diary of Anne Frank	1959	3	8		
The Godfather	1972	3	11		
The Great Ziegfeld	1936	3	7		
The Killing Fields	1984	3	7		
The Life of Emile Zola	1937	3	10		
The Lion in Winter	1968	3	7		
The Pianist	2002	3	7		
The Piano	1993	3	8		
The Rose Tattoo	1955	3	8		
The Social Network	2010	3	8		
The Thief of Bagdad	1940	3	4		
The Towering Inferno	1974	3	8		
The Treasure of the Sierra Madre	1948	3	4		
To Kill a Mockingbird	1962	3	8		
Who Framed Roger Rabbit	1988	3	6		
Yankee Doodle Dandy	1942	3	8		
Zorba the Greek(Alexis Zorbas)	1964	3	7		
A Beautiful Mind	2001	4	8		
A Streetcar Named Desire	1951	4	12		
All That Jazz	1979	4	9		
All the President's Men	1976	4	8		
Annie Hall	1977	4	5		
Anthony Adverse	1936	4	7		
Barry Lyndon	1975	4	7		
Butch Cassidy and the Sundance Kid	1969	4	7		
Chariots of Fire	1981	4	7		
Cleopatra	1963	4	9		
Crouching Tiger, Hidden Dragon	2000	4	10		
Driving Miss Daisy	1989	4	9		
E.T.: The Extra-Terrestrial	1982	4	9		
Fanny & Alexander(Fanny och Alexander)	1983	4	6		
Hamlet	1948	4	7		
High Noon	1952	4	7		
Inception	2010	4	8		
Life of Pi	2012	4	11		
Marty	1955	4	8		
Million Dollar Baby	2004	4	7		
Network	1976	4	10		
No Country for Old Men	2007	4	8		
Ordinary People	1980	4	6		
Platoon	1986	4	8		
Raiders of the Lost Ark	1981	4	8		
Rain Man	1988	4	8		
Sayonara	1957	4	10		
Spartacus	1960	4	6		
Terminator 2: Judgment Day	1991	4	6		
The Departed	2006	4	5		
The Heiress	1949	4	8		
The Informer	1935	4	6		
The King's Speech	2010	4	12		
The Lord of the Rings: The Fellowship of the Ring	2001	4	13		
The Lost Weekend	1945	4	7		
The Matrix	1999	4	4		
The Right Stuff	1983	4	8		
The Song of Bernadette	1943	4	12		
Tom Jones	1963	4	10		
Traffic	2000	4	5		
Unforgiven	1992	4	9		
American Beauty	1999	5	8		
Around the World in 80 Days	1956	5	8		
Braveheart	1995	5	10		
Doctor Zhivago	1965	5	10		
Gladiator	2000	5	12		
How Green Was My Valley	1941	5	10		
Hugo	2011	5	11		
In the Heat of the Night	1967	5	7		
It Happened One Night	1934	5	5		
Kramer vs. Kramer	1979	5	9		
Mary Poppins	1964	5	13		
Oliver!	1968	5	11		
One Flew over the Cuckoo's Nest	1975	5	9		
Saving Private Ryan	1998	5	11		
Sound of Music, The	1965	5	10		
Terms of Endearment	1983	5	11		
The Apartment	1960	5	10		
The Artist	2011	5	10		
The Aviator	2004	5	11		
The Bad and the Beautiful	1952	5	6		
The Deer Hunter	1978	5	9		
The French Connection	1971	5	8		
The King and I	1956	5	9		
The Silence of the Lambs	1991	5	7		
Who's Afraid of Virginia Woolf?	1966	5	13		
Wilson	1944	5	10		
A Man for All Seasons	1966	6	8		
A Place in the Sun	1951	6	9		
All About Eve	1950	6	14		
An American in Paris	1951	6	8		
Chicago	2002	6	13		
Forrest Gump	1994	6	13		
Mrs. Miniver	1942	6	12		
Star Wars	1977	6	10[16]		
The Godfather Part II	1974	6	11		
The Hurt Locker	2009	6	9		
Dances with Wolves	1990	7	12		
Going My Way	1944	7	10		
Lawrence of Arabia	1962	7	10		
Out of Africa	1985	7	11		
Patton	1970	7	10		
Schindler's List	1993	7	12		
Shakespeare in Love	1998	7	13		
The Best Years of Our Lives	1946	7	8	
The Bridge on the River Kwai	1957	7	8		
The Sting	1973	7	10		
Amadeus	1984	8	11		
Cabaret	1972	8	10		
From Here to Eternity	1953	8	13		
Gandhi	1982	8	11		
Gone with the Wind	1939	8	13		
My Fair Lady	1964	8	12		
On the Waterfront	1954	8	12		
Slumdog Millionaire	2008	8	10		
Gigi	1958	9	9		
The English Patient	1996	9	12		
The Last Emperor	1987	9	9		
West Side Story	1961	10	11		
Ben-Hur	1959	11	12		
The Lord of the Rings: The Return of the King	2003	11	11		
Titanic	1997	11	14		
